symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,37.0,91.6584,91.46,3384.02,-7.34
BTC-USD,0.03762222,77078.7,78102.7,2938.4,38.53
EEM,41.0,65.41,68.47,2807.27,125.46
EFA,65.0,107.9014,106.57,6927.05,-86.54
IWM,21.0,299.8857,290.5515,6101.58,-196.02
KRE,49.0,75.2943,73.51,3601.99,-87.43
QQQ,5.0,723.7371,716.21,3581.05,-37.64
SHY,300.0,81.8985,81.63,24489.0,-80.55
SMH,3.0,588.14,574.29,1722.87,-41.55
SPY,20.0,750.69,762.52,15250.4,236.6
VEA,35.0,71.74,72.95,2553.25,42.35
VTI,16.0,371.59,375.4016,6006.43,60.99
VWO,51.0,60.05,60.87,3104.37,41.82
XLF,95.0,56.3458,57.05,5419.75,66.9
XLK,18.0,185.96,188.11,3385.98,38.7
CASH,,,,8396.35,
TOTAL_VALUE,,,,99669.75,
SPY_BENCHMARK,,,,102487.67,
GAP_VS_SPY,,,,-2817.92,
