symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,37.0,91.6354,91.66,3391.42,0.91
BTC-USD,0.03762222,77078.7,78952.356,2970.36,70.49
EEM,41.0,65.41,66.99,2746.59,64.78
EFA,56.0,108.08,107.45,6017.2,-35.28
IWM,18.0,301.08,294.04,5292.72,-126.72
KRE,49.0,75.2943,73.65,3608.85,-80.57
QQQ,5.0,723.7371,716.95,3584.75,-33.94
SHY,300.0,81.8985,81.895,24568.5,-1.05
SMH,3.0,588.14,556.21,1668.63,-95.79
SPY,20.0,750.69,767.41,15348.2,334.4
VEA,35.0,71.74,73.09,2558.15,47.25
VTI,16.0,371.59,378.5548,6056.88,111.44
VWO,51.0,60.05,60.52,3086.52,23.97
XLF,95.0,56.3458,57.72,5483.4,130.55
XLK,18.0,185.96,186.0856,3349.54,2.26
CASH,,,,10235.7,
TOTAL_VALUE,,,,99967.41,
SPY_BENCHMARK,,,,102862.63,
GAP_VS_SPY,,,,-2895.22,
