symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
EEM,55.0,65.41,66.61,3663.55,66.0
EFA,70.0,108.08,108.64,7604.8,39.2
IWM,22.0,301.08,305.09,6711.98,88.22
KRE,49.0,75.2943,77.93,3818.57,129.15
QQQ,5.0,723.7371,731.07,3655.35,36.66
SHY,300.0,81.8985,82.0,24600.0,30.45
SMH,3.0,588.14,587.82,1763.46,-0.96
SPY,20.0,750.69,776.34,15526.8,513.0
VEA,70.0,71.74,73.58,5150.6,128.8
VTI,16.0,371.59,383.85,6141.6,196.16
VWO,100.0,60.05,60.11,6011.0,6.0
XLF,95.0,56.3458,58.16,5525.2,172.35
XLK,18.0,185.96,190.01,3420.18,72.9
CASH,,,,7106.51,
TOTAL_VALUE,,,,100699.6,
SPY_BENCHMARK,,,,104336.96,
GAP_VS_SPY,,,,-3637.36,
