symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,37.0,91.6584,91.3999,3381.8,-9.56
BTC-USD,0.03762222,77078.7,77298.29,2908.13,8.26
EEM,41.0,65.41,66.77,2737.57,55.76
EFA,56.0,108.08,106.41,5958.96,-93.52
IWM,18.0,301.08,290.66,5231.88,-187.56
KRE,49.0,75.2943,72.71,3562.79,-126.63
QQQ,5.0,723.7371,707.91,3539.55,-79.14
SHY,300.0,81.8985,81.595,24478.5,-91.05
SMH,3.0,588.14,546.0,1638.0,-126.42
SPY,20.0,750.69,761.95,15239.0,225.2
VEA,35.0,71.74,72.1763,2526.17,15.27
VTI,16.0,371.59,375.31,6004.96,59.52
VWO,51.0,60.05,60.68,3094.68,32.13
XLF,95.0,56.3458,57.25,5438.75,85.9
XLK,18.0,185.96,184.0126,3312.23,-35.05
CASH,,,,10235.63,
TOTAL_VALUE,,,,99288.6,
SPY_BENCHMARK,,,,102217.53,
GAP_VS_SPY,,,,-2928.93,
