symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,25.0,91.6,91.63,2290.75,0.75
BTC-USD,0.03762222,77078.7,80039.198,3011.25,111.38
EEM,41.0,65.41,67.5,2767.5,85.69
EFA,56.0,108.08,108.02,6049.12,-3.36
GLD,8.0,420.76,422.0208,3376.17,10.09
IWM,18.0,301.08,299.66,5393.88,-25.56
KRE,49.0,75.2943,74.34,3642.66,-46.76
QQQ,5.0,723.7371,719.79,3598.95,-19.74
SHY,300.0,81.8985,82.02,24606.0,36.45
SMH,3.0,588.14,570.5,1711.5,-52.92
SPY,20.0,750.69,770.16,15403.2,389.4
VEA,35.0,71.74,73.2713,2564.5,53.6
VTI,16.0,371.59,380.45,6087.2,141.76
VWO,51.0,60.05,60.9152,3106.68,44.13
XLF,95.0,56.3458,57.88,5498.6,145.75
XLK,18.0,185.96,188.14,3386.52,39.24
CASH,,,,8028.15,
TOTAL_VALUE,,,,100522.62,
SPY_BENCHMARK,,,,103632.72,
GAP_VS_SPY,,,,-3110.1,
