symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,25.0,91.5942,91.6,2290.0,0.14
BTC-USD,0.03762222,77078.6998,77415.21,2912.53,12.66
EEM,41.0,65.41,67.12,2751.92,70.11
EFA,56.0,108.08,108.19,6058.64,6.16
GLD,8.0,420.76,422.91,3383.28,17.2
IWM,18.0,301.08,299.94,5398.92,-20.52
KRE,49.0,75.2943,74.86,3668.14,-21.28
QQQ,5.0,723.7371,712.83,3564.15,-54.54
SHY,300.0,81.8985,81.98,24594.0,24.45
SMH,3.0,588.14,559.91,1679.73,-84.69
SPY,20.0,750.69,765.26,15305.2,291.4
VEA,35.0,71.74,73.42,2569.7,58.8
VTI,16.0,371.59,378.31,6052.96,107.52
VWO,51.0,60.05,60.37,3078.87,16.32
XLF,95.0,56.3458,57.45,5457.75,104.9
XLK,18.0,185.96,183.38,3300.84,-46.44
CASH,,,,8028.3,
TOTAL_VALUE,,,,100094.93,
SPY_BENCHMARK,,,,102968.81,
GAP_VS_SPY,,,,-2873.88,
