symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,61.0,91.6354,91.65,5590.65,0.89
BTC-USD,0.03762222,77078.7,78216.801,2942.69,42.82
EEM,41.0,65.41,67.14,2752.74,70.93
EFA,56.0,108.08,107.72,6032.32,-20.16
IWM,18.0,301.08,295.75,5323.5,-95.94
KRE,49.0,75.2943,74.3,3640.7,-48.72
QQQ,5.0,723.7371,716.43,3582.15,-36.54
SHY,300.0,81.8985,81.89,24567.0,-2.55
SMH,3.0,588.14,553.11,1659.33,-105.09
SPY,20.0,750.69,769.35,15387.0,373.2
VEA,35.0,71.74,73.06,2557.1,46.2
VTI,16.0,371.59,379.36,6069.76,124.32
VWO,51.0,60.05,60.79,3100.29,37.74
XLF,95.0,56.3458,58.1,5519.5,166.65
XLK,18.0,185.96,185.69,3342.42,-4.86
CASH,,,,8035.86,
TOTAL_VALUE,,,,100103.01,
SPY_BENCHMARK,,,,103397.53,
GAP_VS_SPY,,,,-3294.52,
