symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,37.0,91.6584,91.4,3381.8,-9.56
BTC-USD,0.03762222,77078.7,77177.251,2903.58,3.71
EEM,41.0,65.41,67.18,2754.38,72.57
EFA,65.0,107.9014,107.06,6958.9,-54.69
IWM,21.0,299.8857,293.99,6173.79,-123.81
KRE,49.0,75.2943,74.14,3632.86,-56.56
QQQ,5.0,723.7371,708.44,3542.2,-76.49
SHY,300.0,81.8985,81.64,24492.0,-77.55
SMH,3.0,588.14,548.05,1644.15,-120.27
SPY,20.0,750.69,764.54,15290.8,277.0
VEA,35.0,71.74,72.58,2540.3,29.4
VTI,16.0,371.59,376.78,6028.48,83.04
VWO,51.0,60.05,60.77,3099.27,36.72
XLF,95.0,56.3458,57.66,5477.7,124.85
XLK,18.0,185.96,183.47,3302.46,-44.82
CASH,,,,8396.36,
TOTAL_VALUE,,,,99619.03,
SPY_BENCHMARK,,,,102854.57,
GAP_VS_SPY,,,,-3235.54,
