symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,61.0,91.6354,91.65,5590.65,0.89
BTC-USD,0.03762222,77078.7,77490.479,2915.36,15.49
EEM,41.0,65.41,67.09,2750.69,68.88
EFA,56.0,108.08,107.75,6034.0,-18.48
IWM,18.0,301.08,295.75,5323.5,-95.94
KRE,49.0,75.2943,74.24,3637.76,-51.66
QQQ,5.0,723.7371,716.37,3581.85,-36.84
SHY,300.0,81.8985,81.89,24567.0,-2.55
SMH,3.0,588.14,553.46,1660.38,-104.04
SPY,20.0,750.69,769.0977,15381.95,368.15
VEA,35.0,71.74,73.11,2558.85,47.95
VTI,16.0,371.59,379.51,6072.16,126.72
VWO,51.0,60.05,60.65,3093.15,30.6
XLF,95.0,56.3458,58.05,5514.75,161.9
XLK,18.0,185.96,185.6,3340.8,-6.48
CASH,,,,8035.95,
TOTAL_VALUE,,,,100058.81,
SPY_BENCHMARK,,,,103361.24,
GAP_VS_SPY,,,,-3302.43,
