symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,25.0,91.6,91.605,2290.12,0.12
BTC-USD,0.03762222,77078.7,78654.1,2959.14,59.27
EEM,41.0,65.41,66.14,2711.74,29.93
EFA,56.0,108.08,108.03,6049.68,-2.8
GLD,8.0,420.76,426.37,3410.96,44.88
IWM,18.0,301.08,298.07,5365.26,-54.18
KRE,49.0,75.2943,74.76,3663.24,-26.18
QQQ,5.0,723.7371,705.9672,3529.84,-88.85
SHY,300.0,81.8985,81.995,24598.5,28.95
SMH,3.0,588.14,545.04,1635.12,-129.3
SPY,20.0,750.69,763.28,15265.6,251.8
VEA,35.0,71.74,73.125,2559.38,48.48
VTI,16.0,371.59,377.04,6032.64,87.2
VWO,51.0,60.05,59.985,3059.24,-3.31
XLF,95.0,56.3458,58.26,5534.7,181.85
XLK,18.0,185.96,180.0,3240.0,-107.28
CASH,,,,8028.15,
TOTAL_VALUE,,,,99933.3,
SPY_BENCHMARK,,,,102616.69,
GAP_VS_SPY,,,,-2683.39,
