symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,37.0,91.6584,91.49,3385.13,-6.23
BTC-USD,0.03762222,77078.7,77444.14,2913.62,13.75
EEM,41.0,65.41,67.84,2781.44,99.63
EFA,65.0,107.9014,106.7,6935.5,-78.09
IWM,21.0,299.8857,289.2,6073.2,-224.4
KRE,49.0,75.2943,74.0,3626.0,-63.42
QQQ,5.0,723.7371,714.87,3574.35,-44.34
SHY,300.0,81.8985,81.38,24414.0,-155.55
SMH,3.0,588.14,568.18,1704.54,-59.88
SPY,20.0,750.69,764.36,15287.2,273.4
VEA,35.0,71.74,72.69,2544.15,33.25
VTI,16.0,371.59,376.59,6025.44,80.0
VWO,51.0,60.05,60.35,3077.85,15.3
XLF,95.0,56.3458,57.25,5438.75,85.9
XLK,18.0,185.96,187.67,3378.06,30.78
CASH,,,,8396.35,
TOTAL_VALUE,,,,99555.58,
SPY_BENCHMARK,,,,102705.39,
GAP_VS_SPY,,,,-3149.81,
