symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.62,24829.02,26.66
BTC-USD,0.02612222,77078.7,84071.48,2196.13,182.67
EEM,41.0,65.41,67.98,2787.18,105.37
EFA,65.0,107.9014,105.56,6861.4,-152.19
IWM,21.0,299.8857,281.97,5921.37,-376.23
QQQ,5.0,723.7371,744.5,3722.5,103.81
SHY,148.0,81.22,81.21,12019.08,-1.48
SMH,3.0,588.14,606.56,1819.68,55.26
SPY,20.0,750.69,771.35,15427.0,413.2
VEA,35.0,71.74,71.84,2514.4,3.5
VTI,5.0,371.59,379.77,1898.85,40.9
VWO,51.0,60.05,60.16,3068.16,5.61
XLF,95.0,56.3458,54.84,5209.8,-143.05
XLK,18.0,185.96,196.27,3532.86,185.58
CASH,,,,8007.73,
TOTAL_VALUE,,,,99815.16,
SPY_BENCHMARK,,,,103666.32,
GAP_VS_SPY,,,,-3851.16,
