symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
EEM,55.0,65.41,65.39,3596.45,-1.1
EFA,70.0,108.08,108.09,7566.3,0.7
IWM,22.0,301.08,301.11,6624.42,0.66
KRE,49.0,75.2943,76.85,3765.65,76.23
QQQ,5.0,723.7371,719.3,3596.5,-22.19
SHY,300.0,81.8985,81.87,24561.0,-8.55
SPY,20.0,750.69,771.1201,15422.4,408.6
VEA,70.0,71.74,72.66,5086.2,64.4
VTI,16.0,371.59,381.0,6096.0,150.56
VWO,100.0,60.05,60.12,6012.0,7.0
XLF,95.0,56.3458,57.89,5499.55,146.7
XLK,18.0,185.96,186.46,3356.28,9.0
CASH,,,,8870.95,
TOTAL_VALUE,,,,100053.7,
SPY_BENCHMARK,,,,103564.18,
GAP_VS_SPY,,,,-3510.48,
