symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,37.0,91.6584,91.4481,3383.58,-7.78
BTC-USD,0.03762222,77078.7,79790.679,3001.9,102.03
EEM,41.0,65.41,68.56,2810.96,129.15
EFA,65.0,107.9014,108.35,7042.75,29.16
IWM,21.0,299.8857,295.73,6210.33,-87.27
KRE,49.0,75.2943,75.24,3686.76,-2.66
QQQ,5.0,723.7371,718.04,3590.2,-28.49
SHY,300.0,81.8985,81.69,24507.0,-62.55
SMH,3.0,588.14,566.1,1698.3,-66.12
SPY,20.0,750.69,769.4896,15389.79,375.99
VEA,35.0,71.74,73.67,2578.45,67.55
VTI,16.0,371.59,379.52,6072.32,126.88
VWO,51.0,60.05,61.49,3135.99,73.44
XLF,95.0,56.3458,58.07,5516.65,163.8
XLK,18.0,185.96,186.82,3362.76,15.48
CASH,,,,8396.35,
TOTAL_VALUE,,,,100384.09,
SPY_BENCHMARK,,,,103443.22,
GAP_VS_SPY,,,,-3059.13,
