symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.5,24796.5,-5.86
BTC-USD,0.03762222,77078.7,79366.2,2985.93,86.06
EEM,41.0,65.41,66.07,2708.87,27.06
EFA,65.0,107.9014,105.96,6887.4,-126.19
IWM,21.0,299.8857,288.07,6049.47,-248.13
KRE,49.0,75.2943,74.1321,3632.47,-56.95
QQQ,5.0,723.7371,710.02,3550.1,-68.59
SHY,42.0,81.41,81.33,3415.86,-3.36
SMH,3.0,588.14,542.73,1628.19,-136.23
SPY,20.0,750.69,761.08,15221.6,207.8
VEA,35.0,71.74,71.72,2510.2,-0.7
VTI,16.0,371.59,374.71,5995.36,49.92
VWO,51.0,60.05,59.61,3040.11,-22.44
XLF,95.0,56.3458,57.06,5420.7,67.85
XLK,18.0,185.96,184.28,3317.04,-30.24
CASH,,,,7956.13,
TOTAL_VALUE,,,,99115.94,
SPY_BENCHMARK,,,,102259.2,
GAP_VS_SPY,,,,-3143.26,
