symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.62,24829.02,26.66
BTC-USD,0.02612222,77078.7,84057.251,2195.76,182.3
EEM,41.0,65.41,67.95,2785.95,104.14
EFA,65.0,107.9014,105.51,6858.15,-155.44
IWM,21.0,299.8857,282.01,5922.21,-375.39
QQQ,5.0,723.7371,744.65,3723.25,104.56
SHY,148.0,81.22,81.19,12016.12,-4.44
SMH,3.0,588.14,606.1086,1818.33,53.91
SPY,20.0,750.69,771.17,15423.4,409.6
VEA,35.0,71.74,71.84,2514.4,3.5
VTI,5.0,371.59,379.5,1897.5,39.55
VWO,51.0,60.05,60.22,3071.22,8.67
XLF,95.0,56.3458,54.78,5204.1,-148.75
XLK,18.0,185.96,196.3,3533.4,186.12
CASH,,,,8007.73,
TOTAL_VALUE,,,,99800.54,
SPY_BENCHMARK,,,,103535.96,
GAP_VS_SPY,,,,-3735.42,
