symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.5899,24820.86,18.5
BTC-USD,0.02612222,77078.7,84253.04,2200.88,187.41
EEM,41.0,65.41,67.675,2774.68,92.86
EFA,65.0,107.9014,104.8,6812.0,-201.59
IWM,21.0,299.8857,281.98,5921.58,-376.02
QQQ,5.0,723.7371,741.02,3705.1,86.41
SMH,3.0,588.14,600.5,1801.5,37.08
SPY,20.0,750.69,767.62,15352.4,338.6
VEA,35.0,71.74,71.42,2499.7,-11.2
VTI,5.0,371.59,378.37,1891.85,33.9
VWO,51.0,60.05,60.4609,3083.51,20.96
XLF,95.0,56.3458,54.62,5188.9,-163.95
XLK,18.0,185.96,195.51,3519.18,171.9
CASH,,,,20028.29,
TOTAL_VALUE,,,,99600.42,
SPY_BENCHMARK,,,,103175.78,
GAP_VS_SPY,,,,-3575.36,
