symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.51,24799.21,-3.15
BTC-USD,0.03762222,77078.7,75811.4,2852.19,-47.68
EEM,41.0,65.41,65.8,2697.8,15.99
EFA,65.0,107.9014,105.49,6856.85,-156.74
IWM,21.0,299.8857,285.22,5989.62,-307.98
KRE,49.0,75.2943,74.05,3628.45,-60.97
QQQ,5.0,723.7371,705.14,3525.7,-92.99
SHY,42.0,81.41,81.32,3415.44,-3.78
SMH,3.0,588.14,542.25,1626.75,-137.67
SPY,20.0,750.69,758.08,15161.6,147.8
VEA,35.0,71.74,71.82,2513.7,2.8
VTI,16.0,371.59,373.2352,5971.76,26.32
VWO,51.0,60.05,59.22,3020.22,-42.33
XLF,95.0,56.3458,56.87,5402.65,49.8
XLK,18.0,185.96,183.98,3311.64,-35.64
CASH,,,,7956.13,
TOTAL_VALUE,,,,98729.72,
SPY_BENCHMARK,,,,101784.78,
GAP_VS_SPY,,,,-3055.06,
