symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,37.0,91.6584,91.5,3385.5,-5.86
BTC-USD,0.03762222,77078.7,77150.74,2902.58,2.71
EEM,41.0,65.41,67.84,2781.44,99.63
EFA,65.0,107.9014,106.7,6935.5,-78.09
IWM,21.0,299.8857,288.89,6066.69,-230.91
KRE,49.0,75.2943,73.9,3621.1,-68.32
QQQ,5.0,723.7371,714.88,3574.4,-44.29
SHY,300.0,81.8985,81.37,24411.0,-158.55
SMH,3.0,588.14,568.53,1705.59,-58.83
SPY,20.0,750.69,764.29,15285.8,272.0
VEA,35.0,71.74,72.69,2544.15,33.25
VTI,16.0,371.59,376.31,6020.96,75.52
VWO,51.0,60.05,60.35,3077.85,15.3
XLF,95.0,56.3458,57.25,5438.75,85.9
XLK,18.0,185.96,187.67,3378.06,30.78
CASH,,,,8396.35,
TOTAL_VALUE,,,,99525.72,
SPY_BENCHMARK,,,,102717.49,
GAP_VS_SPY,,,,-3191.77,
