symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.57,24815.47,13.11
BTC-USD,0.03762222,77078.7,87265.2,3283.11,383.24
EEM,41.0,65.41,68.74,2818.34,136.53
EFA,65.0,107.9014,106.13,6898.45,-115.14
IWM,21.0,299.8857,285.63,5998.23,-299.37
QQQ,5.0,723.7371,741.18,3705.9,87.21
SHY,85.0,81.35,81.29,6909.65,-5.1
SMH,3.0,588.14,595.5,1786.5,22.08
SPY,20.0,750.69,773.25,15465.0,451.2
VEA,35.0,71.74,72.32,2531.2,20.3
VTI,5.0,371.59,381.15,1905.75,47.8
VWO,51.0,60.05,61.14,3118.14,55.59
XLF,95.0,56.3458,55.85,5305.75,-47.1
XLK,18.0,185.96,194.75,3505.5,158.22
CASH,,,,12128.9,
TOTAL_VALUE,,,,100175.89,
SPY_BENCHMARK,,,,104030.53,
GAP_VS_SPY,,,,-3854.64,
