symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.55,24810.05,7.69
BTC-USD,0.03762222,77078.7,81268.141,3057.49,157.62
EEM,41.0,65.41,67.03,2748.23,66.42
EFA,65.0,107.9014,104.97,6823.05,-190.54
IWM,21.0,299.8857,284.1,5966.1,-331.5
QQQ,5.0,723.7371,721.45,3607.25,-11.44
SHY,85.0,81.35,81.24,6905.4,-9.35
SMH,3.0,588.14,573.0,1719.0,-45.42
SPY,20.0,750.69,761.69,15233.8,220.0
VEA,35.0,71.74,71.38,2498.3,-12.6
VTI,16.0,371.59,375.43,6006.88,61.44
VWO,51.0,60.05,60.01,3060.51,-2.04
XLF,95.0,56.3458,55.86,5306.7,-46.15
XLK,18.0,185.96,189.6,3412.8,65.52
CASH,,,,7972.33,
TOTAL_VALUE,,,,99127.89,
SPY_BENCHMARK,,,,102368.06,
GAP_VS_SPY,,,,-3240.17,
