symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,37.0,91.6584,91.45,3383.65,-7.71
BTC-USD,0.03762222,77078.7,79950.5,3007.92,108.04
EEM,41.0,65.41,68.7,2816.7,134.89
EFA,65.0,107.9014,108.35,7042.75,29.16
IWM,21.0,299.8857,296.01,6216.21,-81.39
KRE,49.0,75.2943,75.27,3688.23,-1.19
QQQ,5.0,723.7371,718.96,3594.8,-23.89
SHY,300.0,81.8985,81.69,24507.0,-62.55
SMH,3.0,588.14,567.01,1701.03,-63.39
SPY,20.0,750.69,770.19,15403.8,390.0
VEA,35.0,71.74,73.76,2581.6,70.7
VTI,16.0,371.59,379.73,6075.68,130.24
VWO,51.0,60.05,61.44,3133.44,70.89
XLF,95.0,56.3458,58.1,5519.5,166.65
XLK,18.0,185.96,187.28,3371.04,23.76
CASH,,,,8396.35,
TOTAL_VALUE,,,,100439.7,
SPY_BENCHMARK,,,,103510.42,
GAP_VS_SPY,,,,-3070.72,
