symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,37.0,91.6584,91.415,3382.36,-9.0
BTC-USD,0.03762222,77078.7,81565.78,3068.69,168.81
EEM,41.0,65.41,67.46,2765.86,84.05
EFA,65.0,107.9014,108.16,7030.4,16.81
IWM,21.0,299.8857,295.06,6196.26,-101.34
KRE,49.0,75.2943,74.88,3669.12,-20.3
QQQ,5.0,723.7371,717.15,3585.75,-32.94
SHY,300.0,81.8985,81.72,24516.0,-53.55
SMH,3.0,588.14,552.6,1657.8,-106.62
SPY,20.0,750.69,772.49,15449.8,436.0
VEA,35.0,71.74,73.44,2570.4,59.5
VTI,16.0,371.59,380.99,6095.84,150.4
VWO,51.0,60.05,60.99,3110.49,47.94
XLF,95.0,56.3458,58.47,5554.65,201.8
XLK,18.0,185.96,185.65,3341.7,-5.58
CASH,,,,8396.35,
TOTAL_VALUE,,,,100391.46,
SPY_BENCHMARK,,,,103940.49,
GAP_VS_SPY,,,,-3549.03,
