symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
EEM,55.0,65.41,66.53,3659.15,61.6
EFA,70.0,108.08,108.6997,7608.98,43.38
IWM,22.0,301.08,302.89,6663.58,39.82
KRE,49.0,75.2943,77.48,3796.52,107.1
QQQ,5.0,723.7371,722.85,3614.25,-4.44
SHY,300.0,81.8985,81.92,24576.0,6.45
SMH,3.0,588.14,584.2647,1752.79,-11.63
SPY,20.0,750.69,772.32,15446.4,432.6
VEA,70.0,71.74,73.3,5131.0,109.2
VTI,16.0,371.59,381.8,6108.8,163.36
VWO,100.0,60.05,60.41,6041.0,36.0
XLF,95.0,56.3458,57.9706,5507.21,154.36
XLK,18.0,185.96,188.591,3394.64,47.36
CASH,,,,7106.52,
TOTAL_VALUE,,,,100406.84,
SPY_BENCHMARK,,,,103906.89,
GAP_VS_SPY,,,,-3500.05,
