symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,15.0,91.58,91.5799,1373.7,-0.0
BTC-USD,0.0503139,71201.6,72883.92,3667.07,84.64
EEM,41.0,65.41,66.7104,2735.13,53.32
EFA,56.0,108.08,107.25,6006.0,-46.48
GLD,8.0,415.52,414.6093,3316.87,-7.29
IWM,18.0,301.08,297.5,5355.0,-64.44
KRE,49.0,75.2943,74.7,3660.3,-29.12
QQQ,5.0,723.7371,710.55,3552.75,-65.94
SHY,300.0,81.8985,82.028,24608.4,38.85
SMH,3.0,588.14,562.38,1687.14,-77.28
SPY,20.0,750.69,762.45,15249.0,235.2
VEA,35.0,71.74,72.94,2552.9,42.0
VTI,16.0,371.59,376.8799,6030.08,84.64
VWO,51.0,60.05,60.02,3061.02,-1.53
XLF,95.0,56.3458,56.96,5411.2,58.35
XLK,18.0,185.96,182.99,3293.82,-53.46
CASH,,,,8025.13,
TOTAL_VALUE,,,,99585.51,
SPY_BENCHMARK,,,,102527.99,
GAP_VS_SPY,,,,-2942.48,
