symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,25.0,91.6,91.6,2290.0,0.0
BTC-USD,0.03762222,77078.7,77315.65,2908.79,8.91
EEM,41.0,65.41,67.12,2751.92,70.11
EFA,56.0,108.08,108.24,6061.44,8.96
GLD,8.0,420.76,423.36,3386.88,20.8
IWM,18.0,301.08,299.96,5399.28,-20.16
KRE,49.0,75.2943,74.86,3668.14,-21.28
QQQ,5.0,723.7371,713.44,3567.2,-51.49
SHY,300.0,81.8985,82.0,24600.0,30.45
SMH,3.0,588.14,560.42,1681.26,-83.16
SPY,20.0,750.69,765.72,15314.4,300.6
VEA,35.0,71.74,73.42,2569.7,58.8
VTI,16.0,371.59,378.24,6051.84,106.4
VWO,51.0,60.05,60.45,3082.95,20.4
XLF,95.0,56.3458,57.48,5460.6,107.75
XLK,18.0,185.96,183.31,3299.58,-47.7
CASH,,,,8028.15,
TOTAL_VALUE,,,,100122.13,
SPY_BENCHMARK,,,,102909.67,
GAP_VS_SPY,,,,-2787.54,
