symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.55,24810.05,7.69
BTC-USD,0.03762222,77078.7,80954.717,3045.7,145.82
EEM,41.0,65.41,67.2,2755.2,73.39
EFA,65.0,107.9014,105.04,6827.6,-185.99
IWM,21.0,299.8857,284.0508,5965.07,-332.53
QQQ,5.0,723.7371,722.4,3612.0,-6.69
SHY,85.0,81.35,81.255,6906.68,-8.07
SMH,3.0,588.14,572.4,1717.2,-47.22
SPY,20.0,750.69,762.85,15257.0,243.2
VEA,35.0,71.74,71.38,2498.3,-12.6
VTI,16.0,371.59,375.89,6014.24,68.8
VWO,51.0,60.05,60.01,3060.51,-2.04
XLF,95.0,56.3458,55.91,5311.45,-41.4
XLK,18.0,185.96,190.0,3420.0,72.72
CASH,,,,7972.33,
TOTAL_VALUE,,,,99173.32,
SPY_BENCHMARK,,,,102314.3,
GAP_VS_SPY,,,,-3140.98,
