symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,37.0,91.6584,91.46,3384.02,-7.34
BTC-USD,0.03762222,77078.7,78532.86,2954.58,54.71
EEM,41.0,65.41,68.79,2820.39,138.58
EFA,65.0,107.9014,107.81,7007.65,-5.94
IWM,21.0,299.8857,294.61,6186.81,-110.79
KRE,49.0,75.2943,74.36,3643.64,-45.78
QQQ,5.0,723.7371,717.57,3587.85,-30.84
SHY,300.0,81.8985,81.67,24501.0,-68.55
SMH,3.0,588.14,574.25,1722.75,-41.67
SPY,20.0,750.69,765.47,15309.4,295.6
VEA,35.0,71.74,73.4776,2571.72,60.82
VTI,16.0,371.59,377.56,6040.96,95.52
VWO,51.0,60.05,61.23,3122.73,60.18
XLF,95.0,56.3458,57.36,5449.2,96.35
XLK,18.0,185.96,187.87,3381.66,34.38
CASH,,,,8396.35,
TOTAL_VALUE,,,,100080.71,
SPY_BENCHMARK,,,,103001.06,
GAP_VS_SPY,,,,-2920.35,
