symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.585,24819.53,17.17
BTC-USD,0.02612222,77078.7,84278.2,2201.53,188.07
EEM,41.0,65.41,67.0107,2747.44,65.63
EFA,65.0,107.9014,104.33,6781.45,-232.14
IWM,21.0,299.8857,281.0169,5901.35,-396.25
QQQ,5.0,723.7371,738.89,3694.45,75.76
SMH,3.0,588.14,599.25,1797.75,33.33
SPY,20.0,750.69,765.72,15314.4,300.6
VEA,35.0,71.74,71.05,2486.75,-24.15
VTI,5.0,371.59,377.5,1887.5,29.55
VWO,51.0,60.05,59.87,3053.37,-9.18
XLF,95.0,56.3458,54.52,5179.4,-173.45
XLK,18.0,185.96,194.19,3495.42,148.14
CASH,,,,20028.29,
TOTAL_VALUE,,,,99388.64,
SPY_BENCHMARK,,,,103194.59,
GAP_VS_SPY,,,,-3805.95,
