symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
EEM,55.0,65.41,66.09,3634.95,37.4
EFA,70.0,108.08,107.66,7536.2,-29.4
GLD,9.0,413.81,414.49,3730.41,6.12
IWM,22.0,301.08,301.68,6636.96,13.2
KRE,49.0,75.2943,75.09,3679.41,-10.01
QQQ,5.0,723.7371,716.19,3580.95,-37.74
SHY,300.0,81.8985,82.05,24615.0,45.45
SMH,3.0,588.14,562.06,1686.18,-78.24
SPY,20.0,750.69,768.92,15378.4,364.6
VEA,35.0,71.74,72.84,2549.4,38.5
VTI,16.0,371.59,380.19,6083.04,137.6
VWO,51.0,60.05,59.5486,3036.98,-25.57
XLF,95.0,56.3458,57.48,5460.6,107.75
XLK,18.0,185.96,183.84,3309.12,-38.16
CASH,,,,8926.43,
TOTAL_VALUE,,,,99844.03,
SPY_BENCHMARK,,,,103394.84,
GAP_VS_SPY,,,,-3550.81,
