symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.52,24801.92,-0.44
BTC-USD,0.03762222,77078.7,76109.71,2863.42,-36.46
EEM,41.0,65.41,65.68,2692.88,11.07
EFA,65.0,107.9014,104.98,6823.7,-189.89
IWM,21.0,299.8857,283.7,5957.7,-339.9
QQQ,5.0,723.7371,704.48,3522.4,-96.29
SMH,3.0,588.14,544.9,1634.7,-129.72
SPY,20.0,750.69,753.94,15078.8,65.0
VEA,35.0,71.74,71.2887,2495.1,-15.8
VTI,16.0,371.59,371.45,5943.2,-2.24
VWO,51.0,60.05,59.18,3018.18,-44.37
XLF,95.0,56.3458,55.94,5314.3,-38.55
XLK,18.0,185.96,184.05,3312.9,-34.38
CASH,,,,14887.08,
TOTAL_VALUE,,,,98346.28,
SPY_BENCHMARK,,,,101724.3,
GAP_VS_SPY,,,,-3378.02,
