symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,25.0,91.6,91.63,2290.75,0.75
BTC-USD,0.03762222,77078.7,78348.416,2947.64,47.77
EEM,41.0,65.41,67.17,2753.97,72.16
EFA,56.0,108.08,108.27,6063.12,10.64
GLD,8.0,420.76,421.01,3368.08,2.0
IWM,18.0,301.08,299.19,5385.42,-34.02
KRE,49.0,75.2943,74.58,3654.42,-35.0
QQQ,5.0,723.7371,712.47,3562.35,-56.34
SHY,300.0,81.8985,82.06,24618.0,48.45
SMH,3.0,588.14,554.0,1662.0,-102.42
SPY,20.0,750.69,766.5,15330.0,316.2
VEA,35.0,71.74,73.57,2574.95,64.05
VTI,16.0,371.59,378.75,6060.0,114.56
VWO,51.0,60.05,60.66,3093.66,31.11
XLF,95.0,56.3458,58.2451,5533.28,180.43
XLK,18.0,185.96,183.73,3307.14,-40.14
CASH,,,,8028.15,
TOTAL_VALUE,,,,100232.94,
SPY_BENCHMARK,,,,102958.06,
GAP_VS_SPY,,,,-2725.12,
