symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.57,24815.47,13.11
BTC-USD,0.02612222,77078.7,86406.345,2257.13,243.66
EEM,41.0,65.41,69.07,2831.87,150.06
EFA,65.0,107.9014,106.7,6935.5,-78.09
IWM,21.0,299.8857,287.15,6030.15,-267.45
QQQ,5.0,723.7371,746.86,3734.3,115.61
SHY,85.0,81.35,81.3,6910.5,-4.25
SMH,3.0,588.14,606.3345,1819.0,54.58
SPY,20.0,750.69,773.34,15466.8,453.0
VEA,35.0,71.74,72.71,2544.85,33.95
VTI,5.0,371.59,381.52,1907.6,49.65
VWO,51.0,60.05,61.1,3116.1,53.55
XLF,95.0,56.3458,54.85,5210.75,-142.1
XLK,18.0,185.96,196.17,3531.06,183.78
CASH,,,,13121.19,
TOTAL_VALUE,,,,100232.27,
SPY_BENCHMARK,,,,104025.16,
GAP_VS_SPY,,,,-3792.89,
