symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,271.0,91.5216,91.53,24804.63,2.27
BTC-USD,0.03762222,77078.7,76660.45,2884.14,-15.74
EEM,41.0,65.41,66.9,2742.9,61.09
EFA,65.0,107.9014,106.04,6892.6,-120.99
IWM,21.0,299.8857,285.12,5987.52,-310.08
QQQ,5.0,723.7371,716.18,3580.9,-37.79
SHY,85.0,81.35,81.35,6914.75,0.0
SMH,3.0,588.14,560.085,1680.26,-84.17
SPY,20.0,750.69,762.11,15242.2,228.4
VEA,35.0,71.74,72.15,2525.25,14.35
VTI,16.0,371.59,375.17,6002.72,57.28
VWO,51.0,60.05,59.7887,3049.22,-13.33
XLF,95.0,56.3458,55.89,5309.55,-43.3
XLK,18.0,185.96,188.02,3384.36,37.08
CASH,,,,7972.33,
TOTAL_VALUE,,,,98973.32,
SPY_BENCHMARK,,,,102454.07,
GAP_VS_SPY,,,,-3480.75,
