symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,37.0,91.6584,91.478,3384.69,-6.67
BTC-USD,0.03762222,77078.7,77239.46,2905.92,6.05
EEM,41.0,65.41,67.05,2749.05,67.24
EFA,65.0,107.9014,105.65,6867.25,-146.34
IWM,21.0,299.8857,287.76,6042.96,-254.64
KRE,49.0,75.2943,73.81,3616.69,-72.73
QQQ,5.0,723.7371,708.84,3544.2,-74.49
SHY,300.0,81.8985,81.4088,24422.64,-146.91
SMH,3.0,588.14,560.9,1682.7,-81.72
SPY,20.0,750.69,758.41,15168.2,154.4
VEA,35.0,71.74,71.92,2517.2,6.3
VTI,16.0,371.59,373.67,5978.72,33.28
VWO,51.0,60.05,59.94,3056.94,-5.61
XLF,95.0,56.3458,56.92,5407.4,54.55
XLK,18.0,185.96,185.39,3337.02,-10.26
CASH,,,,8396.35,
TOTAL_VALUE,,,,99077.93,
SPY_BENCHMARK,,,,101857.35,
GAP_VS_SPY,,,,-2779.42,
