symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,25.0,91.6,91.615,2290.38,0.38
BTC-USD,0.03762222,77078.7,78817.302,2965.28,65.41
EEM,41.0,65.41,67.29,2758.89,77.08
EFA,56.0,108.08,108.81,6093.36,40.88
GLD,8.0,420.76,427.64,3421.12,55.04
IWM,18.0,301.08,299.22,5385.96,-33.48
KRE,49.0,75.2943,74.34,3642.66,-46.76
QQQ,5.0,723.7371,711.35,3556.75,-61.94
SHY,300.0,81.8985,82.095,24628.5,58.95
SMH,3.0,588.14,558.0,1674.0,-90.42
SPY,20.0,750.69,766.1582,15323.16,309.36
VEA,35.0,71.74,73.81,2583.35,72.45
VTI,16.0,371.59,378.282,6052.51,107.07
VWO,51.0,60.05,60.64,3092.64,30.09
XLF,95.0,56.3458,58.27,5535.65,182.8
XLK,18.0,185.96,181.72,3270.96,-76.32
CASH,,,,8028.15,
TOTAL_VALUE,,,,100303.32,
SPY_BENCHMARK,,,,102935.21,
GAP_VS_SPY,,,,-2631.89,
